CandidateName,OType,Magnitude,RA,Dec,MajorAxis
NGC  801,Active Galaxy Nucleus,13.47,30.93663604942,38.25878212474,1.28
NGC  949,Galaxy towards a Group of Galaxies,11.975,37.70264291913,37.13659859237,1.293
NGC 2775,Galaxy,10.481,137.58388920562,7.03802059918,2.463
NGC 2832,Brightest Galaxy in a Cluster (BCG),13.17,139.945219,33.749742,1.353
NGC 2855,Galaxy,12.23,140.36453955273,-11.90953826613,1.863
NGC 2815,Emission-line galaxy,11.84,139.0822845918,-23.63325927518,1.743
NGC 2784,Galaxy,10.16,138.081237,-24.1726,6.17
NGC 2907,LINER-type Active Galaxy Nucleus,12.06,142.90256294222,-16.73471032036,1.503
NGC 2865,Galaxy towards a Group of Galaxies,11.43,140.875854,-23.161492,1.357
NGC 2968,Galaxy in Pair of Galaxies,14.25,145.80010935513,31.92870802847,1.7
UGC 5185,LINER-type Active Galaxy Nucleus,13.55,145.72980645432,28.98075936908,1.08
NGC 2916,Seyfert 2 Galaxy,12.05,143.73997217066,21.70526682911,1.313
NGC 2911,LINER-type Active Galaxy Nucleus,13.83,143.44211414446,10.15245042511,1.18
NGC 2936,Radio Galaxy,13.06,144.43391647988,2.76088146482,1.28
PN A66  33,Planetary Nebula,15.54,144.78809110247,-2.80846861074,4.467
NGC 2986,Galaxy towards a Group of Galaxies,10.93,146.06674736628,-21.27804767292,3.72
NGC 2983,Galaxy towards a Group of Galaxies,11.68,145.92132095177,-20.47723780041,1.507
NGC 2935,Emission-line galaxy,10.04,144.18688658771,-21.12821123586,1.393
NGC 2992,Seyfert 2 Galaxy,12.18,146.425187,-14.326361,3.24
Leo A,Galaxy,13.26,149.86025,30.74639,4.25
UGC 5340,Galaxy,14.59,149.191862,28.828824,1.67
Sextans B,HII Galaxy,11.89,150.00342389253,5.3359814971,4.3
UGCA 193,Galaxy towards a Group of Galaxies,14.74,150.6496,-6.0136,1.41
NGC 3091,Brightest Galaxy in a Cluster (BCG),10.61,150.058854,-19.636478,1.71
NGC 3081,Seyfert 2 Galaxy,13.55,149.87309876014,-22.8263187061,1.33
NGC 3078,Active Galaxy Nucleus,11.07,149.60247911312,-26.92665423408,1.53
