CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,StartObservability,EndObservability,RejectedReason
NGC  797,Astrophotography,13.06,30.86708,38.11697,1.412,Galaxy,2023-07-15 10:50:04,2023-07-15 18:20:04,
NGC 5289,Astrophotography,13.09,206.28628163185,41.50339405372,1.673,Galaxy in Pair of Galaxies,2023-07-14 22:35:00,2023-07-15 06:05:00,
NGC 4895,Astrophotography,13.09,195.07470150657,28.20238703437,1.03,LINER-type Active Galaxy Nucleus,2023-07-14 21:50:00,2023-07-15 05:20:00,
NGC 7052,Astrophotography,13.09,319.63768415152,26.44699294061,1.76,Radio Galaxy,2023-07-15 06:08:00,2023-07-15 13:38:00,
NGC 7328,Astrophotography,13.1,339.37204543254,10.53156242861,1.177,Galaxy,2023-07-15 07:27:00,2023-07-15 14:57:00,
NGC 1029,Astrophotography,13.11,39.90223263518,10.79325352164,1.07,Galaxy in Pair of Galaxies,2023-07-15 11:26:04,2023-07-15 18:56:04,
NGC 7314,Astrophotography,13.11,338.94249389828,-26.05043472041,4.37,Seyfert 1 Galaxy,2023-07-15 08:35:00,2023-07-15 14:31:00,
NGC 5273,Astrophotography,13.12,205.53491734028,35.65429653301,1.657,Seyfert 1 Galaxy,2023-07-14 22:32:00,2023-07-15 06:02:00,
NGC  216,Astrophotography,13.12,10.362021,-21.048028,1.227,Emission-line galaxy,2023-07-15 10:38:04,2023-07-15 16:58:04,
NGC 4593,Astrophotography,13.15,189.91434796126,-5.34417638568,2.75,Seyfert 1 Galaxy,2023-07-14 22:39:00,2023-07-15 04:59:00,
Peg dSph,Astrophotography,13.2,357.9433,24.5864,3.98,Galaxy towards a Group of Galaxies,2023-07-15 08:41:00,2023-07-15 16:11:00,
Cetus Dwarf Galaxy,Astrophotography,13.2,6.545,-11.0539,5.01,Galaxy,2023-07-15 10:23:04,2023-07-15 16:43:04,
IC 1231,Astrophotography,13.203,251.74598538932,58.42313315156,1.083,Galaxy towards a Group of Galaxies,2023-07-15 03:07:00,2023-07-15 09:07:00,
NGC 5899,Astrophotography,13.21,228.76355,42.049853,2.087,Seyfert 2 Galaxy,2023-07-15 00:05:00,2023-07-15 07:35:00,
PN A66  78,Astrophotography,13.25,323.8724234412999,31.69595811003,1.783,Planetary Nebula,2023-07-15 06:25:00,2023-07-15 13:55:00,
NGC 7743,Astrophotography,13.28,356.08816991963,9.93415860824,1.717,Seyfert 2 Galaxy,2023-07-15 08:34:00,2023-07-15 16:04:00,
NGC  708,Astrophotography,13.29,28.193675,36.151814,1.847,Brightest Galaxy in a Cluster (BCG),2023-07-15 10:39:04,2023-07-15 18:09:04,
NGC 7720,Astrophotography,13.3,354.6224301675,27.03146055789,1.027,Seyfert 1 Galaxy,2023-07-15 08:28:00,2023-07-15 15:58:00,
NGC 5311,Astrophotography,13.3,207.2336483,39.9851836,1.097,Seyfert Galaxy,2023-07-14 22:39:00,2023-07-15 06:09:00,
NGC 5793,Astrophotography,13.32,224.853362,-16.693486,1.16,Seyfert 2 Galaxy,2023-07-15 00:59:00,2023-07-15 07:19:00,
NGC 4911,Astrophotography,13.33,195.23359031215,27.79087578367,1.38,LINER-type Active Galaxy Nucleus,2023-07-14 21:51:00,2023-07-15 05:21:00,
NGC  547,Astrophotography,13.34,21.50258707605,-1.34512012563,1.687,Galaxy in Pair of Galaxies,2023-07-15 11:23:04,2023-07-15 17:43:04,
NGC  545,Astrophotography,13.34,21.49671,-1.34039,2.4,Brightest Galaxy in a Cluster (BCG),2023-07-15 11:23:04,2023-07-15 17:43:04,
